****************************A06 第 1 轮训练开始****************************
****************************A06 第 65 轮训练开始****************************
epoch: 65, train_Loss: 1.4021, train_acc: 0.2577
****************************A06 第 66 轮训练开始****************************
epoch: 66, train_Loss: 1.4225, train_acc: 0.2731
****************************A06 第 67 轮训练开始****************************
epoch: 67, train_Loss: 1.3525, train_acc: 0.2577
****************************A06 第 68 轮训练开始****************************
epoch: 68, train_Loss: 1.3459, train_acc: 0.2538
****************************A06 第 69 轮训练开始****************************
epoch: 69, train_Loss: 1.4458, train_acc: 0.2500
****************************A06 第 70 轮训练开始****************************
epoch: 70, train_Loss: 1.3592, train_acc: 0.2385
****************************A06 第 71 轮训练开始****************************
epoch: 71, train_Loss: 1.4055, train_acc: 0.2462
****************************A06 第 72 轮训练开始****************************
epoch: 72, train_Loss: 1.3594, train_acc: 0.2423
****************************A06 第 73 轮训练开始****************************
epoch: 73, train_Loss: 1.4850, train_acc: 0.2500
****************************A06 第 74 轮训练开始****************************
epoch: 74, train_Loss: 1.4830, train_acc: 0.2538
****************************A06 第 75 轮训练开始****************************
epoch: 75, train_Loss: 1.3943, train_acc: 0.2615
****************************A06 第 76 轮训练开始****************************
epoch: 76, train_Loss: 1.3904, train_acc: 0.2500
****************************A06 第 77 轮训练开始****************************
epoch: 77, train_Loss: 1.3963, train_acc: 0.2462
****************************A06 第 78 轮训练开始****************************
epoch: 78, train_Loss: 1.4400, train_acc: 0.2500
****************************A06 第 79 轮训练开始****************************
epoch: 79, train_Loss: 1.3682, train_acc: 0.2615
****************************A06 第 80 轮训练开始****************************
epoch: 80, train_Loss: 1.3951, train_acc: 0.2615
****************************A06 第 81 轮训练开始****************************
epoch: 81, train_Loss: 1.4395, train_acc: 0.2538
****************************A06 第 82 轮训练开始****************************
epoch: 82, train_Loss: 1.3536, train_acc: 0.2577
****************************A06 第 83 轮训练开始****************************
epoch: 83, train_Loss: 1.3955, train_acc: 0.2538
****************************A06 第 84 轮训练开始****************************
epoch: 84, train_Loss: 1.4510, train_acc: 0.2769
****************************A06 第 85 轮训练开始****************************
epoch: 85, train_Loss: 1.3673, train_acc: 0.2500
****************************A06 第 86 轮训练开始****************************
epoch: 86, train_Loss: 1.3458, train_acc: 0.2500
****************************A06 第 87 轮训练开始****************************
epoch: 87, train_Loss: 1.4640, train_acc: 0.2385
****************************A06 第 88 轮训练开始****************************
epoch: 88, train_Loss: 1.4211, train_acc: 0.2423
****************************A06 第 89 轮训练开始****************************
epoch: 89, train_Loss: 1.4293, train_acc: 0.2192
****************************A06 第 90 轮训练开始****************************
